155.88,44.96,24.62
104.23,84.74,45.22
58.71,124.06,32.21
140.05,138.06,8.32
107.69,84.84,55.74
129.5,64.98,38.6
141.07,137.4,9.92
84.1,104.63,42.24
105.01,84.24,43.48
137.72,138.12,7.13
56.41,124.24,31.15
61.52,33.67,21.69
11.06,43.75,36.05
11.53,44.17,4.93
11.38,45.31,35.62
10.46,44.81,37.27
104.56,84.94,44.25
10.52,44.72,38.7
88.93,110.06,36.98
87.56,111.26,36.01
88.87,58.07,2.06
57.41,124.81,34.58
102.66,82.52,58.77
137.86,134.76,12.11
9.36,45.93,38.4
58.59,124.83,34.83
58.14,35.26,34.44
154.07,47.46,23.42
7.01,46.67,38.23
15,78.27,59.89
59.35,124.49,32.4
16.64,80.5,59.79
8.42,45.08,40.97
177.45,140.59,12.08
16.1,81.06,59.2
11.23,44.88,37.03
9.21,43.32,38.89
106.84,86.3,53.53
15.19,79.37,59.83
158.7,49.11,23.5
10.09,44.75,38.26
60.23,36.27,20.99
9.44,45.42,37.61
8.94,45.81,37.9
103.09,82.65,46.05
139.25,137.77,7.17
104.52,85.4,45.96
140.68,137.88,8.95
94.43,59.11,58.95
58.4,124.24,29.87
107.23,85.2,54.77
11.72,45.41,38.24
162.1,51.19,9.2
140.59,136.64,8.96
10.89,45.36,36.28
9.7,44.96,37.6
14.65,81.57,359.59
63.35,34.8,31.23
87.57,58.45,4.6
140.39,134.58,12.19
122.29,58.73,33.29
11.26,83.56,59.98
59.99,34.05,32.9
13.86,81.21,1.56
109.69,50.26,18.5
6.6,45.44,40.26
177.34,72.35,58.25
19.34,114.38,5.52
59.95,124.06,32.2
120.44,112.21,56.58
161.8,51.46,9.58
163.01,50.23,10.07
93.03,58.45,0.58
62.67,34.82,32.19
10.61,45.01,37.52
130.4,64.45,38.25
10.07,44.03,38.39
9.49,44.6,39.75
106.25,84.64,45.47
10.71,45.92,36.49
112.04,52.49,18.56
13.88,47.32,35.5
96.73,118.22,48.5
61.57,33.5,31.64
14.93,81.03,11
21.82,41.49,28.87
59.1,125.39,23
87.97,57.92,3.37
117.96,109.07,1.18
58.16,35.75,24.55
23.27,42.24,25.92
57.86,125.9,23.39
137.62,135.63,12.14
9.09,45.9,37.69
56.72,125.43,32.37
55.55,125.12,32.72
14.27,81.19,59.45
107.12,83.25,54.85
140.18,138.44,8.2
65.92,33.68,18.39
141.2,136.89,8.7
93.28,58.63,0.52
138.25,137.63,7.91
15.61,79.54,59.39
9.84,46.1,38.13
10.55,45.13,37.67
160.94,48.19,20.7
11.11,46.5,35.21
10.42,46.72,36.85
158.05,45.71,21.43
104.06,84.26,57.47
157.37,45.05,13.56
103.29,86.05,58.61
86.78,60.39,3.97
142.04,136.36,13.9
138.03,135.79,22.2
178.11,72.58,58.29
10.69,46.67,36.61
92.68,58.67,59.29
15.18,79.11,59.52
14.52,52.11,34.29
161.66,50.92,10.65
140.59,137.78,20.33
135.2,21.48,28.26
15.42,79.84,11.91
57.59,124.41,31.44
160.8,49.82,10.09
14.12,80.29,10.68
157.85,48.9,23.08
10.63,44.82,37.35
15.17,80.42,10.83
57.15,123.77,31.1
10.02,43.36,37.86
12.93,82.1,359.68
13.74,83.6,10.7
9.72,45.21,36.7
158.59,46.99,21.7
138.68,137.44,10.3
7.58,46.71,38.68
85.51,105.59,41.47
11.34,44.18,37.39
177,139.56,12.37
15.41,78.97,359.55
141.19,137.18,8.65
108.97,85.99,55.34
16.42,80.27,59.47
161.81,51.27,10.71
155.03,47.38,20.99
105.72,84.51,43.83
9.87,44.33,38.02
64.06,35.28,18.94
9.66,44.57,38.37
63.74,126.61,30.5
64.11,34.55,32.51
141.52,137.21,21.14
106.02,84.78,44.74
11.89,45.13,37.27
10.51,46.49,37.02
22.01,136.41,8.54
158.68,47.77,23.18
140.17,134.19,11.93
139.32,135.09,12.76
9.09,45.4,36.97
104.38,84.72,45.68
8.21,46.68,38.46
13.59,80.15,1.19
103.31,83.13,46.07
11.64,44.12,37.07
58.03,123.63,31.02
108.06,86.02,54.04
140.96,136.79,9.62
15.81,79.84,59.25
138.95,137.67,7.61
10.77,44.58,37.68
13.95,79.04,0.58
22.54,135.86,8.96
139.79,135.97,11.34
59.16,34.9,23.73
59.87,34.3,34.73
102.92,82.91,46.83
7.15,47.36,8.96
7.71,47.05,8.5
57.77,123.64,31.02
107.74,86.95,53.72
159.89,49.18,10.74
162.28,49.72,10.47
138.92,136.94,7.96
15.47,79.88,0.06
